Mass (kg),Apogee (m)
18.33,3341.146114162604
18.34,3338.814193053887
18.35,3337.2318391570493
18.360000000000003,3335.2710104178013
18.370000000000005,3332.9674259010308
18.380000000000006,3331.0264838536755
18.390000000000008,3329.1882258531955
18.40000000000001,3327.596609949675
18.41000000000001,3325.2874651475354
18.420000000000012,3323.764418128006
18.430000000000014,3321.6237855935487
18.440000000000015,3319.492746882583
18.450000000000017,3317.614481495907
18.46000000000002,3315.4073846462575
18.47000000000002,3313.5783265531663
18.48000000000002,3311.564164672275
18.490000000000023,3309.640645301707
18.500000000000025,3308.1244537110374
18.510000000000026,3305.7583242366045
18.520000000000028,3303.8117570602285
18.53000000000003,3302.3212766920064
18.54000000000003,3299.9193758145207
18.550000000000033,3297.9895465280656
18.560000000000034,3296.033574110646
18.570000000000036,3294.11428754149
18.580000000000037,3292.14704955923
18.59000000000004,3290.4230923464806
18.60000000000004,3288.9442270322593
18.610000000000042,3286.5669278947985
18.620000000000044,3284.686214471029
18.630000000000045,3282.6828143446132
18.640000000000047,3280.622867915177
18.65000000000005,3278.70621538474
18.66000000000005,3277.3141418846885
18.67000000000005,3274.9915898943727
18.680000000000053,3273.423653354949
18.690000000000055,3271.508468715864
18.700000000000056,3269.07832294134
18.710000000000058,3267.233633478099
18.72000000000006,3265.746736844395
18.73000000000006,3263.429660714186
18.740000000000062,3261.420429766362
18.750000000000064,3259.489937732061
18.760000000000066,3257.5597833111624
18.770000000000067,3255.627720762334
18.78000000000007,3253.887391119952
18.79000000000007,3251.9787862278786
18.80000000000007,3249.9651006261242
18.810000000000073,3248.0050000996835
18.820000000000075,3246.23826838799
18.830000000000076,3244.660185196436
18.840000000000078,3242.8352201105336
18.85000000000008,3240.4126920810845
18.86000000000008,3238.6474608335466
18.870000000000083,3236.677489104209
18.880000000000084,3234.842347475117
18.890000000000086,3232.942544320129
18.900000000000087,3231.000238170805
18.91000000000009,3229.1364576540986
18.92000000000009,3227.2530939154226
18.930000000000092,3225.6198387579775
18.940000000000094,3223.8186350239107
18.950000000000095,3221.743477486218
18.960000000000097,3220.0104548736617
18.9700000000001,3217.985786438405
18.9800000000001,3215.784950194279
18.9900000000001,3214.2126543010118
19.000000000000103,3211.996485723155
19.010000000000105,3210.0978355781676
19.020000000000106,3208.524305458894
19.030000000000108,3206.4604988016117
19.04000000000011,3204.777855650273
19.05000000000011,3202.6994018560035
19.060000000000112,3200.6617651036545
19.070000000000114,3198.8716280743947
19.080000000000116,3196.8809448639713
19.090000000000117,3195.1274767462883
19.10000000000012,3193.111818349479
19.11000000000012,3191.503652410348
19.120000000000122,3189.3766099003046
19.130000000000123,3187.5627520741577
19.140000000000125,3185.7894084056
19.150000000000126,3183.9267924448673
19.160000000000128,3182.052040624303
19.17000000000013,3180.3487296552157
19.18000000000013,3178.5534559674884
19.190000000000133,3176.7025015614595
19.200000000000134,3174.828206390632
19.210000000000136,3172.9601212646926
19.220000000000137,3171.085622558052
19.23000000000014,3168.7681286185
19.24000000000014,3167.272713215898
19.250000000000142,3165.218494590732
19.260000000000144,3163.4980568991755
19.270000000000145,3161.708623758406
19.280000000000147,3159.980133979873
19.29000000000015,3158.0029967426444
19.30000000000015,3156.151784468474
19.31000000000015,3154.2738305431476
19.320000000000153,3152.4470241480176
19.330000000000155,3150.517271409495
19.340000000000156,3148.628480690098
19.350000000000158,3146.5774601432086
19.36000000000016,3144.8655366068433
19.37000000000016,3142.9850370861554
19.380000000000162,3140.933182704943
19.390000000000164,3139.360171879719
19.400000000000166,3137.4577078928523
19.410000000000167,3135.8050761504996
19.42000000000017,3133.8820468670992
19.43000000000017,3131.991993946603
19.440000000000172,3130.1761713266446
19.450000000000173,3128.3531519962207
19.460000000000175,3126.5245417891983
19.470000000000176,3124.6865584313437
19.480000000000178,3122.826444480314
19.49000000000018,3120.8049358239564
19.50000000000018,3118.9039219100428
19.510000000000183,3117.245119604154
19.520000000000184,3115.3337166724286
19.530000000000186,3113.476472399587
19.540000000000187,3111.5907576645113
19.55000000000019,3109.9193228922
19.56000000000019,3107.6288677363787
19.570000000000192,3106.244965489906
19.580000000000194,3104.3785708356836
19.590000000000195,3102.229523668527
19.600000000000197,3100.977997791433
19.6100000000002,3098.8791706648253
19.6200000000002,3097.231709031603
19.6300000000002,3095.282911380341
19.640000000000203,3093.636416210772
19.650000000000205,3091.4692878581845
19.660000000000206,3089.8032360235743
19.670000000000208,3088.0824020993487
19.68000000000021,3085.770015257629
19.69000000000021,3083.974284623556
19.700000000000212,3082.66282893531
19.710000000000214,3080.3304786858166
19.720000000000216,3078.7001059264176
19.730000000000217,3076.998787024269
19.74000000000022,3075.2858593725523
19.75000000000022,3072.9990160845837
19.760000000000222,3071.448451117413
19.770000000000223,3069.4015508846614
19.780000000000225,3068.0914515080294
19.790000000000227,3065.9618691072696
19.800000000000228,3064.5013732403663
19.81000000000023,3062.5149305271993
19.82000000000023,3060.3846399948366
19.830000000000233,3058.5559971631396
19.840000000000234,3056.768255297823
19.850000000000236,3055.3998688934093
19.860000000000237,3053.474701770805
19.87000000000024,3051.6916358379076
19.88000000000024,3049.5939367046567
19.890000000000242,3048.071809932691
19.900000000000244,3046.18342105212
19.910000000000245,3044.638389494346
19.920000000000247,3042.6128981567263
19.93000000000025,3040.4711612489377
19.94000000000025,3039.1578494976243
19.95000000000025,3037.3357612904715
19.960000000000253,3035.6951655859193
19.970000000000255,3033.3743882699737
19.980000000000256,3031.9923923924694
19.990000000000258,3030.2704248862474
20.00000000000026,3028.164890946892
20.01000000000026,3026.470900984708
20.020000000000262,3024.9158860144844
20.030000000000264,3023.14377722553
20.040000000000266,3020.902795750595
20.050000000000267,3019.1347557776444
20.06000000000027,3017.5212672413613
20.07000000000027,3015.7639982473734
20.080000000000272,3013.6966968874112
20.090000000000273,3011.874381716706
20.100000000000275,3010.346059756344
20.110000000000277,3008.5702689761583
20.120000000000278,3007.1528274716584
20.13000000000028,3004.9289606248985
20.14000000000028,3003.1511194039695
20.150000000000283,3001.47760221229
20.160000000000284,2999.598686758001
20.170000000000286,2997.9204009867426
20.180000000000287,2996.0457811727506
20.19000000000029,2994.2970674392923
20.20000000000029,2992.611830854567
20.210000000000292,2991.0529588584923
20.220000000000294,2988.970012129289
20.230000000000295,2987.649266806995
20.240000000000297,2985.532804114813
20.2500000000003,2983.675791766511
20.2600000000003,2982.1567248755987
20.2700000000003,2980.021485911598
20.280000000000303,2978.606273619562
20.290000000000305,2976.78880722149
20.300000000000306,2974.8164530865197
20.310000000000308,2973.3792717101105
20.32000000000031,2971.3242409566374
20.33000000000031,2969.9288181352495
20.340000000000312,2968.2263118481064
20.350000000000314,2966.5388734121702
20.360000000000316,2964.6371469613478
20.370000000000317,2962.6836924524646
20.38000000000032,2960.6929719737027
20.39000000000032,2959.4601757102205
20.400000000000322,2957.7656427556735
20.410000000000323,2955.465851121811
20.420000000000325,2953.735274676235
20.430000000000327,2952.348154957007
20.440000000000328,2950.5937210373245
20.45000000000033,2948.4757633406584
20.46000000000033,2946.732577736413
20.470000000000333,2945.4729934658035
20.480000000000334,2943.585204439627
20.490000000000336,2942.046906987815
20.500000000000338,2940.178908399198
20.51000000000034,2938.4400204516464
20.52000000000034,2936.679805024773
20.530000000000342,2934.864219757183
20.540000000000344,2932.97684628541
20.550000000000345,2931.424569757808
20.560000000000347,2929.7106808440913
20.57000000000035,2928.001671478564
20.58000000000035,2926.2749827633056
20.59000000000035,2924.4775757109905
20.600000000000353,2922.6893990468566
20.610000000000355,2920.9419369787283
20.620000000000356,2919.3076325929565
20.630000000000358,2917.3396741717306
20.64000000000036,2915.6138328154093
20.65000000000036,2913.888493998026
20.660000000000363,2912.163070328944
20.670000000000364,2910.3675884006384
20.680000000000366,2908.637073000645
20.690000000000367,2906.912286531717
20.70000000000037,2905.1853566507957
20.71000000000037,2903.4087383569395
20.720000000000372,2901.601671100501
20.730000000000373,2899.9466803689247
20.740000000000375,2898.490602195903
20.750000000000377,2896.452696157198
20.760000000000378,2894.7465029991968
20.77000000000038,2893.0724616976872
20.78000000000038,2891.401546621959
20.790000000000383,2889.6876619600794
20.800000000000384,2887.9993545693815
20.810000000000386,2886.28857029111
20.820000000000388,2884.583215381624
20.83000000000039,2882.881831268044
20.84000000000039,2881.532572819583
20.850000000000392,2879.4161219512903
20.860000000000394,2877.719381180775
20.870000000000395,2875.9602868242473
20.880000000000397,2874.488543450274
20.8900000000004,2872.5876280392613
20.9000000000004,2870.8408679030363
20.9100000000004,2869.23218945083
20.920000000000403,2867.8254573944305
20.930000000000405,2865.8639296711335
20.940000000000406,2864.187370738647
20.950000000000408,2862.9621958746948
20.96000000000041,2861.294806211263
20.97000000000041,2859.372435564569
20.980000000000413,2857.37597025558
20.990000000000414,2855.7544457193458
21.000000000000416,2854.017822165874
21.010000000000417,2852.337368383271
21.02000000000042,2851.035095716805
21.03000000000042,2848.8149637508777
21.040000000000422,2847.3093579634237
21.050000000000423,2845.6279814630348
21.060000000000425,2843.951777633566
21.070000000000427,2842.2343336729255
21.080000000000428,2840.5976548150184
21.09000000000043,2838.9349915662337
21.10000000000043,2837.140368061726
21.110000000000433,2835.5304022796404
21.120000000000434,2833.844955865327
21.130000000000436,2832.1512218862417
21.140000000000438,2830.377418170684
21.15000000000044,2828.6730349144545
21.16000000000044,2827.120932915597
21.170000000000442,2825.4314210725247
21.180000000000444,2823.7467054806107
21.190000000000445,2822.4560654688885
21.200000000000447,2820.5118253630167
21.21000000000045,2819.331951107867
21.22000000000045,2817.0217012378616
21.23000000000045,2815.49392273651
21.240000000000453,2813.7845686149844
21.250000000000455,2812.444620402369
21.260000000000456,2810.883015887656
21.270000000000458,2808.7953865369677
21.28000000000046,2807.102512381089
21.29000000000046,2805.9399095574345
21.300000000000463,2804.0979795094363
21.310000000000464,2802.1707427257015
21.320000000000466,2800.593492431675
21.330000000000467,2798.8971379874333
21.34000000000047,2797.249485383365
21.35000000000047,2795.7162998101217
21.360000000000472,2793.9266896280683
21.370000000000474,2792.427124726696
21.380000000000475,2790.8062997929433
21.390000000000477,2789.0102562871466
21.400000000000478,2787.36372508936
21.41000000000048,2785.837791441421
21.42000000000048,2784.192679809141
21.430000000000483,2782.5426681724875
21.440000000000484,2780.8965203956545
21.450000000000486,2779.251835984678
21.460000000000488,2777.5892897637395
21.47000000000049,2776.017509531299
21.48000000000049,2774.202715454337
21.490000000000492,2772.5731273906817
21.500000000000494,2771.3171093954365
21.510000000000495,2769.6669184686466
21.520000000000497,2767.7444837973367
21.5300000000005,2765.96856045874
21.5400000000005,2764.3681727939224
21.5500000000005,2762.9066080123584
21.560000000000503,2761.038319416132
21.570000000000505,2759.4553798052507
21.580000000000506,2757.9202452735285
21.590000000000508,2756.141550384621
21.60000000000051,2754.500762213405
21.61000000000051,2752.9090039103853
21.620000000000513,2751.345675447225
21.630000000000514,2749.6585970208557
21.640000000000516,2748.136864491969
21.650000000000517,2746.533876673413
21.66000000000052,2744.735971727224
21.67000000000052,2743.1120862735006
21.680000000000522,2741.5723353150356
21.690000000000524,2740.286377387734
21.700000000000525,2738.2466463708356
21.710000000000527,2736.6774018455235
21.720000000000528,2735.4724305958516
21.73000000000053,2733.3764712609086
21.74000000000053,2731.848295106544
21.750000000000533,2730.115660996518
21.760000000000534,2728.50177271143
21.770000000000536,2726.9145327453466
21.780000000000538,2725.2865181801117
21.79000000000054,2723.697464258323
21.80000000000054,2722.232563652777
21.810000000000542,2720.8390404805514
21.820000000000544,2719.3068360629363
21.830000000000545,2717.3242180481466
21.840000000000547,2716.0033168019954
21.85000000000055,2714.056242146114
21.86000000000055,2712.7798932342816
21.87000000000055,2710.747484550753
21.880000000000553,2709.4194342503115
21.890000000000555,2707.6938809489093
21.900000000000556,2706.49844083419
21.910000000000558,2704.4573725218165
21.92000000000056,2703.1145515748976
21.93000000000056,2701.480447050436
21.940000000000563,2699.932607746747
21.950000000000564,2698.723737193953
21.960000000000566,2696.6079291108026
21.970000000000567,2695.0439032634863
21.98000000000057,2693.660574080771
21.99000000000057,2691.7946256341165
22.000000000000572,2690.049891898301
22.010000000000574,2688.928505081026
22.020000000000575,2687.3229923225767
22.030000000000577,2685.470815351186
22.04000000000058,2683.8634079505932
22.05000000000058,2682.1787353438613
22.06000000000058,2680.7484470161826
22.070000000000583,2679.111790988516
22.080000000000584,2677.49530365761
22.090000000000586,2675.8752975499256
22.100000000000588,2674.3543628010043
22.11000000000059,2672.732138815952
22.12000000000059,2671.143235903712
22.130000000000592,2669.4191464492237
22.140000000000594,2668.268939168377
22.150000000000595,2666.733617473745
22.160000000000597,2665.147569812914
22.1700000000006,2663.269837292231
22.1800000000006,2662.17969971511
22.1900000000006,2660.2152732997642
22.200000000000603,2658.5246446484434
22.210000000000605,2657.328958535789
22.220000000000606,2655.7805236552545
22.230000000000608,2654.1545511716217
22.24000000000061,2652.576817769371
22.25000000000061,2650.730860335615
22.260000000000613,2649.1811153473086
22.270000000000614,2647.675478437018
22.280000000000616,2646.2772982043994
22.290000000000617,2644.518927358362
22.30000000000062,2642.994257484443
22.31000000000062,2641.512241771072
22.320000000000622,2640.2296817050287
22.330000000000624,2638.2996421591224
22.340000000000625,2637.0040076247133
22.350000000000627,2635.4759750022727
22.36000000000063,2633.915743370165
22.37000000000063,2631.939881270046
22.38000000000063,2630.537088318893
22.390000000000633,2628.9877177088115
22.400000000000635,2627.442187289427
22.410000000000636,2625.8967817088273
22.420000000000638,2624.625239536835
22.43000000000064,2622.8232944195543
22.44000000000064,2621.1338217396055
22.450000000000642,2619.7170862333655
22.460000000000644,2618.27041424179
22.470000000000645,2616.6058602530165
22.480000000000647,2615.4461558403027
22.49000000000065,2613.7441552074565
22.50000000000065,2612.1999635878383
